epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,2123.19,0.45332,0.32504,0.00521,0.73447,0.80587,0.83915,0.76532,0.46439,0.89246,0.0064,0.0230417,0.00768057,0.0230417,0.00768057,0.0230417,0.00768057,0.0230417,0.00768057
84,2148.08,0.47026,0.35272,0.00564,0.79628,0.78127,0.84131,0.76518,0.47009,0.79665,0.00647,0.0229569,0.00765229,0.0229569,0.00765229,0.0229569,0.00765229,0.0229569,0.00765229
85,2173.36,0.47947,0.31632,0.00547,0.81499,0.79532,0.86625,0.77288,0.52085,0.72711,0.0069,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
86,2199.26,0.46298,0.37126,0.00531,0.80421,0.81019,0.87838,0.78443,0.47556,0.66889,0.00619,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
87,2224.68,0.45665,0.33896,0.00526,0.81881,0.76637,0.86615,0.78335,0.49383,0.76728,0.00643,0.0227023,0.00756743,0.0227023,0.00756743,0.0227023,0.00756743,0.0227023,0.00756743
88,2249.87,0.46169,0.3113,0.00546,0.78717,0.77598,0.84419,0.76601,0.47801,0.85101,0.00622,0.0226174,0.00753914,0.0226174,0.00753914,0.0226174,0.00753914,0.0226174,0.00753914
89,2275.16,0.45654,0.3268,0.00549,0.76397,0.84335,0.86527,0.7836,0.46658,0.73985,0.00649,0.0225326,0.00751086,0.0225326,0.00751086,0.0225326,0.00751086,0.0225326,0.00751086
90,2300.66,0.44474,0.2715,0.00502,0.80076,0.81126,0.88118,0.78971,0.49027,0.78843,0.00657,0.0224477,0.00748257,0.0224477,0.00748257,0.0224477,0.00748257,0.0224477,0.00748257
91,2325.77,0.48004,0.33061,0.00582,0.80006,0.86907,0.90017,0.82225,0.44503,0.61016,0.00612,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
92,2350.85,0.4423,0.29707,0.00527,0.79226,0.77786,0.83645,0.76259,0.47339,0.8852,0.00623,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
93,2375.94,0.46157,0.33034,0.00518,0.79171,0.78539,0.85652,0.79492,0.41705,0.73589,0.00568,0.0221931,0.00739771,0.0221931,0.00739771,0.0221931,0.00739771,0.0221931,0.00739771
94,2401.66,0.4576,0.31186,0.00553,0.83822,0.84376,0.87892,0.81107,0.434,0.72715,0.00599,0.0221083,0.00736943,0.0221083,0.00736943,0.0221083,0.00736943,0.0221083,0.00736943
95,2425.8,0.42693,0.29399,0.00509,0.86015,0.84544,0.8874,0.80903,0.44705,0.67146,0.00618,0.0220234,0.00734114,0.0220234,0.00734114,0.0220234,0.00734114,0.0220234,0.00734114
96,2445.81,0.42263,0.3245,0.00484,0.80577,0.78392,0.87383,0.79195,0.47031,0.7173,0.00648,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
97,2467.65,0.42596,0.31398,0.00499,0.80474,0.79695,0.84943,0.79077,0.41644,0.73785,0.00606,0.0218537,0.00728457,0.0218537,0.00728457,0.0218537,0.00728457,0.0218537,0.00728457
98,2492.85,0.44635,0.29049,0.00538,0.90281,0.85445,0.90873,0.82661,0.45889,0.61223,0.00621,0.0217689,0.00725629,0.0217689,0.00725629,0.0217689,0.00725629,0.0217689,0.00725629
99,2517.99,0.43943,0.32249,0.00519,0.7866,0.86946,0.86921,0.80271,0.43651,0.78127,0.00591,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
100,2543.39,0.44041,0.27459,0.00515,0.81579,0.86105,0.90267,0.82261,0.42404,0.65023,0.00594,0.0215991,0.00719971,0.0215991,0.00719971,0.0215991,0.00719971,0.0215991,0.00719971
101,2568.41,0.41064,0.29017,0.00465,0.85139,0.88616,0.92998,0.85735,0.41288,0.4869,0.00547,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143,0.0215143,0.00717143
102,2594.58,0.42438,0.26367,0.00503,0.86121,0.8234,0.8835,0.812,0.41688,0.61465,0.0055,0.0214294,0.00714314,0.0214294,0.00714314,0.0214294,0.00714314,0.0214294,0.00714314
103,2620.09,0.42485,0.2778,0.00505,0.83757,0.84087,0.8823,0.81197,0.43144,0.7389,0.00568,0.0213446,0.00711486,0.0213446,0.00711486,0.0213446,0.00711486,0.0213446,0.00711486
104,2645.72,0.41521,0.28267,0.00479,0.8659,0.83836,0.90888,0.82914,0.44196,0.64816,0.00623,0.0212597,0.00708657,0.0212597,0.00708657,0.0212597,0.00708657,0.0212597,0.00708657
105,2671.28,0.41539,0.29534,0.005,0.92571,0.75748,0.90012,0.82668,0.4796,0.6532,0.00689,0.0211749,0.00705829,0.0211749,0.00705829,0.0211749,0.00705829,0.0211749,0.00705829
106,2697.62,0.43217,0.27695,0.00516,0.86971,0.73035,0.86998,0.80588,0.44024,0.766,0.00622,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
107,2723.55,0.41628,0.27683,0.00498,0.83769,0.79525,0.86488,0.7883,0.45626,0.75415,0.00603,0.0210051,0.00700171,0.0210051,0.00700171,0.0210051,0.00700171,0.0210051,0.00700171
108,2747.94,0.42956,0.31438,0.00479,0.8357,0.79452,0.88344,0.79737,0.4497,0.72584,0.0063,0.0209203,0.00697343,0.0209203,0.00697343,0.0209203,0.00697343,0.0209203,0.00697343
109,2782.47,0.4123,0.28108,0.00496,0.82158,0.84591,0.87753,0.8098,0.44307,0.74863,0.00624,0.0208354,0.00694514,0.0208354,0.00694514,0.0208354,0.00694514,0.0208354,0.00694514
110,2812.22,0.39118,0.28426,0.00459,0.81418,0.92042,0.90753,0.83546,0.41421,0.57465,0.0058,0.0207506,0.00691686,0.0207506,0.00691686,0.0207506,0.00691686,0.0207506,0.00691686
111,2845.46,0.41618,0.31029,0.00497,0.84558,0.87111,0.92583,0.84592,0.44454,0.64637,0.00595,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857,0.0206657,0.00688857
112,2873.4,0.40709,0.26767,0.00467,0.87177,0.82759,0.88828,0.81238,0.45094,0.71694,0.00609,0.0205809,0.00686029,0.0205809,0.00686029,0.0205809,0.00686029,0.0205809,0.00686029
